id,cluster_label,keyword_id,movie_id
0697a0b9-ba2a-4dbc-87e3-200a4d863ffd,"father daughter relationship, father son relationship, loss of father",a506b8f3-3527-4a50-99d6-2ed63e6582b9,1197137
06c4f9f5-cac3-4a4f-b2b8-359bc4fb7ec3,"pennsylvania, usa, new york city, prague, czech republic",d9b00151-8468-4356-a052-025eef550d48,1197137
070c2693-3acb-4016-81d1-b3f9e6dafec7,"secret government agency, government agency, espionage",883a2bd6-faeb-4b9f-bd48-2348c9eb22b8,755898
07451431-1fbf-4de1-829a-57a038b0093e,"secret government agency, government agency, espionage",eef6d3dd-c6cc-485b-91d6-453d2a40f139,1208561
0751e4fd-a11d-4ad1-bf38-a35552127a08,"romantic fantasy, erotic fantasy, high school romance",5d55f86d-5df1-4622-8c57-834cb88db56c,402431
0789dd32-a7eb-4351-92a0-f036bd1cc3c0,"cartoon animal, cartoon bear, cartoon rabbit",f1f08921-6e2b-471e-9382-b782615a797a,269149
078f3e2e-01d1-4cce-be9c-0c65a76b56a0,"cartoon animal, cartoon bear, cartoon rabbit",11b79415-c8c9-4aef-ac51-1cdbc94d3b73,269149
07a5b627-e5d1-48e2-8d0e-13f4130e7be6,"supernatural horror, gothic horror, haunted house",7e0bed58-e8e2-4488-8a86-8d462c5e0e11,1062722
07e6bb80-7099-418a-abe7-d8f900c39f79,"romantic fantasy, erotic fantasy, high school romance",ebc17926-cf8c-4372-b0fb-170f352a6c96,81467
089c95b5-aee1-4baa-a56e-9533a0590008,"secret government agency, government agency, espionage",022b5b63-163c-4b56-b7ba-360bc9bde1d7,7451
08e20c14-15ee-4cde-b995-7a00493beb95,"musical comedy, black comedy, dark comedy",99ac03c3-048b-4525-8750-0614d4e7a273,1084242
0906559d-f2f9-411c-86f9-2e90868a4821,"based on tv series, based on comic, based on novel or book",2ec7ae14-15c9-4666-a3d7-0988e412a53a,1128650
090979bd-a195-41d7-a9f8-02afe2d0d056,"father daughter relationship, father son relationship, loss of father",cdde2523-ab31-4b4e-88d4-f2762b3cdb22,1062722
0914fa9f-d5ce-4e00-8664-97ea79544192,"supernatural horror, gothic horror, haunted house",d6ac1a32-0f37-48d0-ad3e-8b29df6d70d4,1218925
0916f2aa-efa8-4fbe-83c5-f181853c1e6d,"father daughter relationship, father son relationship, loss of father",7e0bed58-e8e2-4488-8a86-8d462c5e0e11,1062722
093239dc-5d27-4af3-98a5-e0d3ff5e6908,"excited, cheerful, joyful",44aa678e-655f-469f-bdda-e2a4fcb279d1,1196573
09426d03-efaa-4b3d-895d-908d78647b0f,"musical comedy, black comedy, dark comedy",79db919d-b235-427f-911c-10666758b40f,701387
09be5eb4-909b-4be5-9146-90410bca0645,"excited, cheerful, joyful",91151ccd-0e81-4b0e-bb85-8a4185db2e8c,269149
09fb0c99-a7f1-46c5-8829-5a1d56ec196e,"supernatural horror, gothic horror, haunted house",09c0279d-4c1f-4384-83c3-a0b3ca452174,1038392
0a03221a-f986-440c-90c8-dca50a320781,"father daughter relationship, father son relationship, loss of father",3265f6ad-d36e-475b-91a4-61c568346012,1197137
0a0b8ba2-1717-4d0b-8feb-a84b817b5835,"murder, brutal murder, killer",79714aa4-c19b-447b-b30c-b3dd39f0bf6f,1197137
0a1d4be3-a56e-4c96-af83-085a814618ec,"romantic fantasy, erotic fantasy, high school romance",b7e9b321-9c23-4d0b-b21c-fd4de3e5a0ea,402431
0a21a774-1dc3-408d-828e-93277e289519,"based on tv series, based on comic, based on novel or book",4de04e2d-ea03-4ba4-a30a-029e47f07380,1228246
0a2f8619-0bd5-4a6f-a1e2-4db378c2d910,"pennsylvania, usa, new york city, prague, czech republic",1b4f916b-c624-4d8a-a3b6-88c5b16a9207,269149
0a4119de-088e-492f-9374-a2f80061bfed,"secret government agency, government agency, espionage",2ec7ae14-15c9-4666-a3d7-0988e412a53a,1128650
0a51871e-3b3a-4e9a-bf17-d64121dfcbfe,"supernatural horror, gothic horror, haunted house",5a69275d-1461-486c-8ef4-5e964f71c9bd,1228246
0a5626a6-d734-4e3d-9157-7f74bd52cc9b,"pennsylvania, usa, new york city, prague, czech republic",56f33355-8ebf-45e7-b3bc-5b0256408f28,1327862
0a7d16f7-7698-44d6-b93d-75bcd3389a55,"supernatural horror, gothic horror, haunted house",58e00366-397b-4858-a9d1-5fd5ef0d95a9,1197137
0ab6a591-a7bc-4df0-8348-cd3c6fbd7d7f,"pennsylvania, usa, new york city, prague, czech republic",af4d00b9-c082-45ec-a654-61ff424d6c48,803796
0b073000-0b64-4cd5-8e14-9c637b8aaa85,"pennsylvania, usa, new york city, prague, czech republic",62653a93-76f2-46ba-aad0-c84914668dc2,1038392
0b13e938-ce18-4ec5-ba90-b28db9fa21ab,"pennsylvania, usa, new york city, prague, czech republic",959cf214-9685-4277-80ef-f92697febc3f,1197137
0b36a7c0-8008-4eaa-bfb5-790cddddabb2,"pennsylvania, usa, new york city, prague, czech republic",3f5df980-8238-4450-a865-1543002c751f,1128650
0b553e2f-5028-4db3-90c3-47eb060b026f,"murder, brutal murder, killer",3b4b14cb-a338-493f-b17d-ff61136e8636,1197137
0b55d45a-ffa7-4169-8acb-f1b6c0551415,"father daughter relationship, father son relationship, loss of father",50732788-62f8-4a9f-8a56-60e5148fdb4e,1327862
0b6e8264-f1bd-4841-b0f3-f7395d5ee991,"secret government agency, government agency, espionage",5d8ef099-0eb6-464b-870b-804a12de5ab1,575265
0bea4cb8-e8f4-4999-932c-52b34f8381a3,"based on tv series, based on comic, based on novel or book",1632a751-b030-4321-b77a-4114854b2c68,617126
0bfc879e-6c16-491e-9bb1-434a02ed62fe,"father daughter relationship, father son relationship, loss of father",41102d19-7bec-4d94-bd73-d5c18b536821,1054867
0c0f720c-8ea1-4076-8de6-1dce2eac3b70,"supernatural horror, gothic horror, haunted house",959cf214-9685-4277-80ef-f92697febc3f,1197137
0c1e62a8-1c03-40d6-a289-a9decd116018,"pennsylvania, usa, new york city, prague, czech republic",f9c08456-0435-4385-9284-bfcb36425108,1197137
0cba9828-378c-4e53-adc0-5d6dfe3c5f3e,"based on tv series, based on comic, based on novel or book",44aa678e-655f-469f-bdda-e2a4fcb279d1,1196573
0cd125af-fb5d-4b8a-9fa4-90a553f94cb0,"based on tv series, based on comic, based on novel or book",8b70f516-c9c2-4f99-a302-6b8ca1bb529f,1244531
0ce51974-62e8-45bb-84cd-d1427e438c4d,"based on tv series, based on comic, based on novel or book",0b53a330-8eda-4f54-b803-7a5e6dee92ca,1054867
0d1ec16f-bb09-4eeb-9716-2a63a3b5cd6b,"based on tv series, based on comic, based on novel or book",ebe4d73f-8cfd-49d8-8e91-a9a2bcc75fb6,1218925
0d21b5e6-74bc-4fc0-9a09-cb334a75a37f,"pennsylvania, usa, new york city, prague, czech republic",cc99f31d-d40e-41ed-a9b4-008df300ed31,1197137
0d44acdc-4345-4d95-ac95-35a4a91b4bf4,"supernatural horror, gothic horror, haunted house",b3ad955b-ad84-486e-a043-00ad10e705b7,1062722
0d75b3bb-2a4d-42d5-b818-2e8791beff09,"excited, cheerful, joyful",166b8d59-44af-4318-a1ee-52b202f094f0,1196573
0d9da046-0537-4ca0-adf4-4a52ab3d6068,"based on tv series, based on comic, based on novel or book",5d20e58a-7b00-4ff5-9dba-d9ebceaa859c,1218925
0debcdba-a1ee-468d-979e-612ca4debfdd,"supernatural horror, gothic horror, haunted house",b7875320-c90a-4ff4-afea-bcbb5dbcd4b7,1246049
0e52d6ec-96f0-421a-9ba1-55f95f6a5c6f,"based on tv series, based on comic, based on novel or book",f8de4613-a20f-46d5-8dd6-93721262c333,402431
0eee2e78-516f-4f01-89bc-c0cddb010ad6,"father daughter relationship, father son relationship, loss of father",7e174976-8ebb-45f8-ad7a-219df5e9eaa5,1197137
0ef1d4fb-9161-47fc-a5b4-07f48ea23e14,"cartoon animal, cartoon bear, cartoon rabbit",a92401be-428e-4745-a611-266177ab2d6d,269149
0efd4113-6fbd-46ac-a66c-5e6272cde5fb,"excited, cheerful, joyful",a04dcdd6-c842-4d3a-8e57-b7e0392ec509,1084242
0f1d7ba7-2585-4913-802b-a9a61660eed4,"father daughter relationship, father son relationship, loss of father",eab0e457-133e-4bd5-b95d-d695d56eb346,967941
0f37b711-3131-4e20-b1a2-0d8fdd40db9f,"pennsylvania, usa, new york city, prague, czech republic",2939b9b4-15d0-486b-9640-716b91ac8c46,1327862
0f6b7c8c-dc61-49cb-825f-63c19129102f,"romantic fantasy, erotic fantasy, high school romance",c932379a-5814-484c-b808-5f2551964578,1218925
0f7309df-41d3-4e37-956a-9e1c22f11dac,"secret government agency, government agency, espionage",cc99ac9e-f6be-4bc3-b571-38bd93ad2954,967941
0f99999b-095d-46ce-abb9-fa8c23cd9186,"based on tv series, based on comic, based on novel or book",15b318d6-e422-4952-a650-bbd3c50b83ce,967941
0fae4fa8-ed71-4d65-8233-5b6a88df1768,"supernatural horror, gothic horror, haunted house",7043f9b3-1956-4fbd-8b89-e60c452a0880,1062722
0fd05a89-c492-4923-bfd9-cae1421823b0,"supernatural horror, gothic horror, haunted house",af4d00b9-c082-45ec-a654-61ff424d6c48,803796
0fdac7e7-2270-4bab-8a26-6919bd5efeaf,"father daughter relationship, father son relationship, loss of father",9a94c589-995e-43ff-af4d-3e947ea22c7c,967941
0ff99450-eea2-41ea-826d-b6104717cd82,"excited, cheerful, joyful",4361b652-d6e2-49c2-a359-f07987f5e63b,1084242
1030bb13-27cf-4c57-a94e-814227d15dc8,"musical comedy, black comedy, dark comedy",e83c4a39-325a-442d-82c1-cabdb0223edc,967941
104fed11-9225-49c1-8949-2967c2498b48,"musical comedy, black comedy, dark comedy",131bc0ef-b67c-42bb-b247-b9688bfcace4,701387
10af5772-eba8-4fb1-9ebb-4f933d60ea8d,"father daughter relationship, father son relationship, loss of father",dc944255-f43c-4f51-b419-0af48e6d9f2c,1062722
10b133cf-b3a9-439e-b79d-efaff3ba434a,"based on tv series, based on comic, based on novel or book",166b8d59-44af-4318-a1ee-52b202f094f0,1196573
10c6a371-5e88-4e2a-8661-5dae35608f66,"romantic fantasy, erotic fantasy, high school romance",989be5b9-5992-43d0-b3d8-a663e3a184c5,402431
10d8c406-23bf-461d-9167-30cc06d8f41b,"murder, brutal murder, killer",ef356ca2-dcbb-442e-a454-2a707b96266e,1197137
110f11e7-1827-4e68-8180-d1bea6c69418,"musical comedy, black comedy, dark comedy",f18ed8bb-b2e2-4c82-a8c5-61b57426d67e,803796
11380db4-13cf-4f4d-b7ef-31ac89e9eeb5,"romantic fantasy, erotic fantasy, high school romance",02fb4cd3-7010-45c9-b3fd-db40bad5c9fe,1327862
1147eca4-d063-494a-87e6-908c8cc32417,"based on tv series, based on comic, based on novel or book",95197adc-b940-4693-bc39-fd580a386105,402431
1163b9d7-dcd5-413d-b597-3969de70e80f,"excited, cheerful, joyful",bd62bb64-2bf5-4d71-9fa9-00fac5f0bd97,1061474
11b5d793-ac37-4995-971e-8ce41c58ecb9,"cartoon animal, cartoon bear, cartoon rabbit",2c8f64c2-f30f-452f-bb48-3760046dfb5a,269149
11d0c550-c311-4e2b-83e6-f377b89d200d,"pennsylvania, usa, new york city, prague, czech republic",c13546f8-c8cb-401a-87a8-84d42696323a,1038392
12057ef2-2d86-44bf-a5b6-5d9351e77d48,"murder, brutal murder, killer",af620743-3310-427c-b556-055d7d9b04ac,1197137
126afda0-cc92-4b4d-8c68-68dfe275c5e3,"romantic fantasy, erotic fantasy, high school romance",62682825-53f6-4374-90aa-9d4ee04dd130,81467
12764e84-a801-470a-b605-f1d66c68b772,"romantic fantasy, erotic fantasy, high school romance",2939b9b4-15d0-486b-9640-716b91ac8c46,1327862
127bd328-89c5-4318-99d4-0dda27c2a057,"supernatural horror, gothic horror, haunted house",e8aed4df-86de-4ec3-8a91-f5554d831056,1244531
12bd3776-133e-462a-9e7c-a16d4cbfdd89,"secret government agency, government agency, espionage",d399edb4-3e03-4fe1-800a-52353105e9c6,701387
138d87cc-15b6-42cc-9082-804263d4190e,"excited, cheerful, joyful",36836d76-b3fe-4acc-86a9-e338b3c5fe81,269149
13a56507-02ba-4b2a-bde6-d6b814cf4f02,"supernatural horror, gothic horror, haunted house",badb73e3-665b-4c6a-9452-a01efebe1d75,1228246
13e9db94-5f88-40a7-85a8-364e542b1ab2,"based on tv series, based on comic, based on novel or book",512fe82d-b4ae-4481-853e-cf775c3d2637,1327862
140335df-cd5a-4d06-a6ec-22592fa0d329,"murder, brutal murder, killer",7e174976-8ebb-45f8-ad7a-219df5e9eaa5,1197137
1415f0aa-f5c8-4bff-b7dd-5d51346ac5ae,"based on tv series, based on comic, based on novel or book",0660040f-c29e-4d0c-8a23-fb2ed2aba3aa,402431
14b33b69-ceb3-4844-b6f7-3d8564a9c9b8,"excited, cheerful, joyful",0c4cedfc-9747-4260-82e5-39ac9d5fb5e0,1197137
14f50a5a-0995-4cf8-aae5-5a57292126b8,"romantic fantasy, erotic fantasy, high school romance",345b23b6-1ebf-4697-8c58-1b3cbbe84750,1218925
1503ee35-a73a-4526-9f3d-e1a86062d61b,"father daughter relationship, father son relationship, loss of father",aa79f6b1-5b6b-4995-976c-8d5e147fb916,1327862
152c2c41-936f-4574-8ace-dbeef6f9983d,"based on tv series, based on comic, based on novel or book",87336cba-888d-450c-8948-cb881ae6ec5d,967941
1539ee18-0442-4a5f-b948-346ac7a7e1fb,"based on tv series, based on comic, based on novel or book",bc488a5b-317c-4cc9-97cc-2728b6528a83,1327862
15566969-7d7d-45b7-a2f0-3d97b45e4ec1,"musical comedy, black comedy, dark comedy",1800e5bf-db58-4cb5-a5ea-33f08f55ae83,701387
15ed798e-b1ae-4f35-9618-707ac020f99a,"based on tv series, based on comic, based on novel or book",943be5cb-a19a-4075-8d4f-ec5ca958afc7,1062722
15fb5802-a4b8-49a4-9636-6e723c49831e,"father daughter relationship, father son relationship, loss of father",b3ad955b-ad84-486e-a043-00ad10e705b7,1062722
16737994-e47c-4e81-8899-6eee7fd5593c,"based on tv series, based on comic, based on novel or book",3cce7ef5-0b13-4ff5-af58-115d4dc2869d,402431
16865638-cc47-4d25-bf06-3270332423d0,"pennsylvania, usa, new york city, prague, czech republic",a671e8d3-2b23-4530-afc4-0fd8b43929fd,1327862
16be9a95-8ee0-4a07-8968-ce8df4317e49,"excited, cheerful, joyful",4b14e7fc-565e-4989-ad28-f3961cdb3def,1061474
170c6d46-bdc8-472d-933c-5aed6ddbe812,"supernatural horror, gothic horror, haunted house",bdc5f62e-f214-4033-a098-ab19ac73d4aa,1197137
178c5b15-b305-4977-9809-47d349e045c2,"romantic fantasy, erotic fantasy, high school romance",0660040f-c29e-4d0c-8a23-fb2ed2aba3aa,402431
17a15894-b12b-4afe-9d4f-1d684a87f2ff,"father daughter relationship, father son relationship, loss of father",190b594c-fc25-4f5d-b1b0-1dd79822f703,967941
17b5d825-d5ea-4693-8324-55428368ce00,"romantic fantasy, erotic fantasy, high school romance",246ea210-ab6b-4c1f-81d8-c4e62cb620b7,402431
17cca094-1541-4283-82bf-f3c48e922aed,"based on tv series, based on comic, based on novel or book",9a94c589-995e-43ff-af4d-3e947ea22c7c,967941
17cced79-8e05-49a3-8aa7-fe16761d580c,"based on tv series, based on comic, based on novel or book",9b5ad5fc-cf33-486f-8b43-7051c00168ab,575265
182f3ee3-3244-4c5b-81c7-42bfc9233152,"based on tv series, based on comic, based on novel or book",72c23be6-b6b4-4152-8635-b87d4505ca55,24428
185fe14f-5df5-4994-90d3-e6652f1053e6,"cartoon animal, cartoon bear, cartoon rabbit",7b352103-1905-40ee-baa0-4d573313459d,1084242
1875accd-6b8f-4434-a341-cf1c30d6d812,"musical comedy, black comedy, dark comedy",3cce7ef5-0b13-4ff5-af58-115d4dc2869d,402431
18ca8b0b-7b97-4c50-b36f-197f76096b87,"pennsylvania, usa, new york city, prague, czech republic",8682fa43-695a-49c2-9810-59e2b1eb3952,269149
18df514d-bfc1-4f60-9555-b185908befa9,"based on tv series, based on comic, based on novel or book",246eb9da-e250-48ed-8639-b14b40b18f5a,1062722
18f24abd-0761-411e-8be7-424bcedb3e1c,"cartoon animal, cartoon bear, cartoon rabbit",eb566371-3661-4250-a763-aa17680d6957,269149
1963489d-8919-40ef-8673-de2ab8bb3f73,"murder, brutal murder, killer",0e465443-e83f-4e1d-bac0-bbed0489ec68,1228246
19c27f91-5f41-47a8-b988-648683c2df33,"excited, cheerful, joyful",1329651f-9ca9-4ed1-a275-4edafaeb4fa5,1196573
19d08c8a-9ce2-4db0-8b9a-31de15f7b8f7,"pennsylvania, usa, new york city, prague, czech republic",b72eb2ee-f2f4-4a72-8cb5-49fed150a035,1327862
1a1c547e-7b2b-4c9f-89ab-8f34be1e5686,"pennsylvania, usa, new york city, prague, czech republic",e55cf4b0-bcfa-4e08-b72a-4e127d2a89a0,269149
1a21ec63-a03d-4d12-9728-3038d7982130,"based on tv series, based on comic, based on novel or book",2939b9b4-15d0-486b-9640-716b91ac8c46,1327862
1a5f67ce-9dce-4d18-a694-9ddbc6ba8295,"based on tv series, based on comic, based on novel or book",dac4b7ce-651d-425b-a787-81c5fd80c1d6,1196573
1b0a4696-cbd8-4295-b821-c3574392ff18,"excited, cheerful, joyful",ff88beb6-b6d7-4aab-a8bd-30004c238854,1197137
1bc15b8b-703d-47b6-af11-5ed16701c839,"pennsylvania, usa, new york city, prague, czech republic",4ab7648d-16ab-4bc0-ae94-8d0fae966aff,1038392
1bfb13fd-26c1-4ad8-9a34-650277ba61bb,"pennsylvania, usa, new york city, prague, czech republic",58e00366-397b-4858-a9d1-5fd5ef0d95a9,1197137
1c5f2eea-b21e-43d3-9653-6a5f38dbda8a,"based on tv series, based on comic, based on novel or book",49875a91-a7c5-4e3b-b7aa-08df4d7469fa,1054867
