id,title,overview,adult,poster_path,backdrop_path,release_date
1197137,Black Phone 2,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",False,https://image.tmdb.org/t/p/w300//gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg,https://image.tmdb.org/t/p/w300//6zKjoOOb3OZnZuiHtQZn4Kd69Gq.jpg,2025-10-15 00:00:00
1208561,Art of Eight Limbs,Four canisters of deadly VX nerve gas have fallen into the hands of an international arms dealer in Myanmar. A CIA recruit delivers a high-tech detection device to an agent already on the ground.,False,https://image.tmdb.org/t/p/w300//tZRypLd2SU3Eeqg5tD5cwkk5CdL.jpg,https://image.tmdb.org/t/p/w300//cVzAhirOhKh91AB1TFcGn0Rh5c3.jpg,2024-08-16 00:00:00
1218762,Jingle Bell Heist,Two down-on-their-luck hourly workers team up to rob a posh London department store on Christmas Eve. Will they steal each other's hearts along the way?,False,https://image.tmdb.org/t/p/w300//rVOQF2Ucekug1B80A9crVx7Jn90.jpg,https://image.tmdb.org/t/p/w300//y6PLMIoHOP365rNDflD9VgnoALU.jpg,2025-11-25 00:00:00
1218925,チェンソーマン レゼ篇,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",False,https://image.tmdb.org/t/p/w300//xdzLBZjCVSEsic7m7nJc4jNJZVW.jpg,https://image.tmdb.org/t/p/w300//gqTz24ZRsCP6AKjARmEivY7m0cK.jpg,2025-09-19 00:00:00
1223601,Sisu 2,"Returning to the house where his family was brutally murdered during the war, 'the man who refuses to die' dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the Red Army commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues — a fight to the death.",False,https://image.tmdb.org/t/p/w300//vUiAm0jbrPgbUDCOhRKsvdT0u5h.jpg,https://image.tmdb.org/t/p/w300//7SgljBnhPPoHxKoQL5ooIhrEgAS.jpg,2025-10-21 00:00:00
1228246,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth about what transpired kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the true origin of Freddy's, and unleash a long-forgotten horror hidden away for decades.",False,https://image.tmdb.org/t/p/w300//am6O7221qGtb5ba5uJKw7PfPZkJ.jpg,https://image.tmdb.org/t/p/w300//vTxxMQk6ZOUSvcjBYIPjXRpInul.jpg,2025-12-03 00:00:00
1237082,31 Minutos: Calurosa Navidad,"Puppeton, the town of 31 Minutes, faces such an infernally hot Christmas that Santa Claus cancels his visit! Bodoque the rabbit heroically volunteers to rescue the presents from the North Pole, while his friends improvise a disastrous Christmas show. But what they don't expect is Bodoque giving in to some irresistible temptations along the way.",False,https://image.tmdb.org/t/p/w300//dv9UrOoicRiMGkzr2oj2YwSFY2K.jpg,https://image.tmdb.org/t/p/w300//3NNoi1GC26017b40g38QBQDZCe5.jpg,2025-11-19 00:00:00
1242419,Roofman,"A former Army Ranger and struggling father turns to robbing McDonald’s restaurants by cutting holes in their roofs, earning him the nickname 'Roofman'. After escaping prison, he secretly lives inside a Toys “R” Us for six months, surviving undetected while planning his next move. But when he falls for a divorced mom drawn to his undeniable charm, his double life begins to unravel, setting off a compelling and suspenseful game of cat and mouse as his past closes in.",False,https://image.tmdb.org/t/p/w300//pUpFD3Oq1eN5mdF9MDwCwH874P8.jpg,https://image.tmdb.org/t/p/w300//2YOnE2qmoyyOUqQsFit12gDSauk.jpg,2025-10-08 00:00:00
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",False,https://image.tmdb.org/t/p/w300//ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg,https://image.tmdb.org/t/p/w300//ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg,2025-11-05 00:00:00
1244531,Beast of War,"When their boat sinks while crossing the Timor Sea during World War II, a troop of young Australian soldiers must find a way to survive the harsh seas on a quickly shrinking raft. Hundreds of miles from anywhere, they must confront interpersonal conflicts, enemy attacks, and the advances of one very large, very hungry great white shark.",False,https://image.tmdb.org/t/p/w300//2xgDjVEOtu5LlbPEngxfbCqWEFg.jpg,https://image.tmdb.org/t/p/w300//ktsHS7DhwS4M54I3CBkxNV5GlTM.jpg,2025-09-18 00:00:00
